92,123,134
86,107,118
64,144,163
48,157,122
48,147,111
71,70,128
127,74,107
140,79,109
100,102,155
51,82,128
32,154,263
51,87,110
32,111,115
151,95,113
80,127,127
80,127,150
24,127,127
45,80,151
30,95,133
55,71,127
48,98,151
38,71,101
38,64,103
23,75,103
0,95,84
15,90,102
111,88,101
151,91,112
145,79,111
96,103,115
72,111,127
95,57,123
90,53,100
63,61,126
2,95,117
8,127,112
65,100,114
62,116,114
67,135,107
67,167,113
56,183,117
64,159,96
78,63,128
63,65,111
99,67,116
58,40,201
52,67,114
51,66,96
109,77,118
64,127,116
110,88,134
107,58,120
109,101,122
66,99,94
75,103,95
40,107,97
63,66,128
78,66,88
68,95,118
96,83,111
14,104,177
15,75,130
15,44,173
55,71,132
152,71,144
133,72,191
133,64,131
83,75,84
127,78,88
125,77,108
116,97,131
121,72,154
116,71,104
10,71,511
7,71,508
0,159,529
4,509,564
203,509,112
210,513,115
209,69,115
199,73,99
194,79,101
166,48,157
80,75,96
79,75,101
133,87,107
78,115,101
84,128,159
63,115,136
95,145,117
77,142,115
95,146,117
66,71,118
44,95,123
63,70,112
44,111,125
63,67,122
24,151,134
64,75,125
44,80,127
139,63,119
132,40,159
132,63,118
75,102,119
58,124,166
68,120,127
62,82,116
107,104,166
63,83,118
64,96,111
0,117,106
21,64,135
23,75,126
146,63,126
148,96,135
144,62,128
143,56,143
79,79,128
76,79,93
78,51,92
88,67,98
85,49,92
96,79,127
95,95,119
4,88,195
15,95,119
6,90,137
109,112,167
87,134,104
63,148,146
62,74,96
79,77,119
72,107,111
123,69,108
128,95,128
149,66,99
140,63,97
16,127,102
41,79,97
56,107,128
37,119,168
80,127,137
74,127,114
95,77,112
71,72,135
40,115,119
63,71,96
51,58,113
55,59,115
66,48,175
51,72,163
129,74,121
112,127,83
131,75,96
127,95,92
98,93,112
99,92,122
94,75,122
127,79,124
127,79,145
108,97,134
5,94,161
7,151,106
7,95,97
0,129,111
159,87,113
132,96,157
132,112,119
64,99,119
111,79,96
75,116,223
89,82,96
88,113,138
94,84,110
127,108,129
11,105,111
4,80,191
0,159,115
76,136,106
81,140,128
99,143,88
66,95,106
40,149,97
77,99,95
111,98,72
122,77,103
74,74,80
72,131,111
97,87,118
127,106,166
121,95,122
97,353,202
112,415,200
121,365,206
97,75,110
176,85,114
149,76,88
192,127,119
45,85,111
40,127,118
47,71,110
138,91,126
147,95,127
192,107,131
56,103,119
87,87,152
62,108,117
87,71,113
79,68,108
128,159,119
74,66,130
0,131,132
6,95,130
9,76,159
7,112,99
95,111,92
99,113,114
97,111,102
101,87,102
67,127,109
63,84,119
98,75,118
125,79,120
101,76,118
191,86,111
0,115,111
51,128,98
6,95,110
115,146,111
165,151,113
159,147,111
32,111,115
63,64,159
58,64,159
63,71,126
67,72,126
104,143,133
63,88,175
128,96,143
104,95,114
131,101,92
109,100,93
183,108,95
